launch_service_provider,mission,name,net,pad,rocket,status
Khrunichev State Research and Production Space Center,Gorizont 31,Proton | Gorizont 31,01/25/1996 9:56 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Raduga 33,Proton | Raduga 33,02/19/1996 8:19 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Astra 1F,Proton-K/DM-2M | Astra 1F,04/08/1996 11:09 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/DM-2M,Launch Successful
Khrunichev State Research and Production Space Center,Priroda,Proton | Priroda,04/23/1996 11:48 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Gorizont 32,Proton | Gorizont 32,05/25/1996 2:05 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,INMARSAT III F-2,Proton | INMARSAT III F-2,09/06/1996 5:37 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
Khrunichev State Research and Production Space Center,Ekspress 2,Proton-K/DM-2M | Ekspress 2,09/26/1996 5:50 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/DM-2M,Launch Successful
Khrunichev State Research and Production Space Center,Mars-96,Proton-K/D-2 | Mars-96,11/16/1996 8:48 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/D-2,Launch Successful
Khrunichev State Research and Production Space Center,Telstar 5,Proton-K/DM-2M | Telstar 5,05/24/1997 5 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/DM-2M,Launch Successful
Khrunichev State Research and Production Space Center,Araks-N 1,Proton-K/17S40 | Araks-N 1,06/06/1997 4:56 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/17S40,Launch Successful
Khrunichev State Research and Production Space Center,Iridium 09 to 14 & Iridium 16,Proton-K/17S40 | Iridium 09 to 14 & Iridium 16,06/18/1997 2:02 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/17S40,Launch Successful
Khrunichev State Research and Production Space Center,US-KS 7,Proton | US-KS 7,08/14/1997 8:49 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton,Launch Successful
