launch_service_provider,mission,name,net,pad,rocket,status
United States Air Force,OSO C,Thor Delta C | OSO C,08/25/1965 3:17 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA",Thor Delta C,Launch Failure
United States Air Force,MRPV,Thor SLV-2 Agena D | MRPV,09/02/1965 8 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2 Agena D,Launch Failure
United States Air Force,DSAP-2 F1,Thor Burner 1 | DSAP-2 F1,09/10/1965 4:41 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA",Thor Burner 1,Launch Successful
United States Air Force,KH-4A 24,Thor SLV-2A Agena D | KH-4A 24,09/22/1965 9:31 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Flight 150,X-15 | Flight 150,09/28/1965 6:08 p.m.,Edwards Air Force Base | Air launch to Suborbital flight,North American X-15,Launch Successful
United States Air Force,KH-7 22,Atlas SLV-3 Agena D | KH-7 22,09/30/1965 7:23 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,OV1-2,Atlas D | OV1-2,10/05/1965 9:07 a.m.,"576B3 | Vandenberg SFB, CA, USA",Atlas D,Launch Successful
United States Air Force,KH-4A 25,Thor SLV-2A Agena D | KH-4A 25,10/05/1965 5:45 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,OGO 2,Thor SLV-2A Agena D | OGO 2,10/14/1965 1:11 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Flight 153,X-15 | Flight 153,10/14/1965 8:47 p.m.,Edwards Air Force Base | Air launch to Suborbital flight,North American X-15,Launch Successful
United States Air Force,OV2-1,Titan IIIC | OV2-1,10/15/1965 5:23 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Titan IIIC,Launch Successful
United States Air Force,GATV 6,Atlas SLV-3 Agena D | GATV 6,10/25/1965 3 p.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA",Atlas SLV-3 Agena D,Launch Failure
United States Air Force,KH-4A 26,Thor SLV-2A Agena D | KH-4A 26,10/28/1965 9:17 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,GEOS A,Thor Delta E | GEOS A,11/06/1965 6:38 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta E,Launch Successful
United States Air Force,KH-7 23,Atlas SLV-3 Agena D | KH-7 23,11/08/1965 7:30 p.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Atlas SLV-3 Agena D,Launch Successful
United States Air Force,Alouette 2,Thor SLV-2 Agena B | Alouette 2,11/29/1965 4:48 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA",Thor SLV-2 Agena B,Launch Successful
United States Air Force,KH-4A 27,Thor SLV-2A Agena D | KH-4A 27,12/09/1965 9:10 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA",Thor SLV-2A Agena D,Launch Successful
United States Air Force,Pioneer 6,Thor Delta E | Pioneer 6,12/16/1965 7:31 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA",Thor Delta E,Launch Successful
