launch_service_provider,mission,name,net,pad,rocket,status
Lockheed Martin,Starshine-OSCAR-43,Athena I | Starshine-OSCAR-43,09/30/2001 2:40 a.m.,"Launch Pad 1 | Pacific Spaceport Complex, Alaska, USA",Athena I,Launch Successful
Lockheed Martin,NROL-12 (Quasar 14),Atlas IIAS | NROL-12,10/11/2001 2:32 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIAS,Launch Successful
Lockheed Martin,Echostar VII,Atlas | Echostar VII,02/21/2002 12:43 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIIB,Launch Successful
Lockheed Martin,TDRS 9,Atlas IIA | TDRS 9,03/08/2002 10:59 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas IIA,Launch Successful
Lockheed Martin,Hot Bird 6,Atlas V 401 | Hot Bird 6,08/21/2002 10:05 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 401,Launch Successful
Lockheed Martin,INTELSAT 906,Ariane 44L | INTELSAT 906,09/06/2002 6:44 a.m.,"Ariane Launch Area 2 | Kourou, French Guiana",Ariane 44L,Launch Successful
Lockheed Martin,Hispasat 1D,Atlas IIAS | Hispasat 1D,09/18/2002 10:04 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas IIAS,Launch Successful
Lockheed Martin,TDRS 10,Atlas IIA | TDRS 10,12/05/2002 2:42 a.m.,"Launch Complex 36A | Cape Canaveral, FL, USA",Atlas IIA,Launch Successful
Lockheed Martin,Asiasat 4,Atlas | Asiasat 4,04/12/2003 12:47 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA",Atlas IIIB,Launch Successful
Lockheed Martin,Hellas Sat 2,Atlas V 401 | Hellas Sat 2,05/13/2003 10:10 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 401,Launch Successful
Lockheed Martin,Rainbow 1,Atlas V 521 | Rainbow 1,07/17/2003 11:45 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA",Atlas V 521,Launch Successful
Lockheed Martin,NROL-18 (Intruder 6A & 6B),Atlas IIAS | NROL-18,12/02/2003 10:04 a.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA",Atlas IIAS,Launch Successful
