launch_service_provider,mission,name,net,pad,rocket,status
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-24,08/25/1994 2:25 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Orlets-2 1,Zenit-2 | Orlets-2 1,08/26/1994 noon,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-20,Soyuz-U2 | Soyuz TM-20,10/03/1994 10:42 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 5,Tsiklon-2 | US-PM 5,11/02/1994 1:04 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Resurs-O1,Zenit-2 | Resurs-O1,11/04/1994 5:47 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-25,11/11/1994 7:21 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 16,Zenit-2 | Tselina-2 16,11/24/1994 9:15 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 6,Soyuz U | Yantar-4KS1M 6,12/29/1994 11:30 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-26,02/15/1995 4:42 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-21,Soyuz-U2 | Soyuz TM-21,03/14/1995 6:11 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-27,04/09/1995 7:34 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 6,Tsiklon-2 | US-PM 6,06/08/1995 4:43 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-28,07/20/1995 3:04 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-22,Soyuz-U2 | Soyuz TM-22,09/03/1995 9 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz-U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-4KS1M 7,Soyuz U | Yantar-4KS1M 7,09/29/1995 4:25 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-29,10/08/1995 6:50 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 17,Zenit-2 | Tselina-2 17,10/31/1995 8:19 p.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-30,12/18/1995 2:31 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),US-PM 7,Tsiklon-2 | US-PM 7,12/20/1995 12:52 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-23,Soyuz-U | Soyuz TM-23,02/21/1996 12:34 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-31,05/05/1996 7:04 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Yantar-1KFT 18,Soyuz U | Yantar-1KFT 18,05/14/1996 8:55 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Failure
Russian Federal Space Agency (ROSCOSMOS),—,Soyuz U | Progress M-32,07/31/1996 8 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Soyuz TM-24,Soyuz-U | Soyuz TM-24,08/17/1996 1:18 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Russian Federal Space Agency (ROSCOSMOS),Tselina-2 18,Zenit-2 | Tselina-2 18,09/04/1996 9:01 a.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan",Zenit-2,Launch Successful
