launch_service_provider,mission,name,net,pad,rocket,status
China Aerospace Science and Technology Corporation,Beidou-3 M5 & M6,Long March 3B / YZ-1 | Beidou-3 M5 & M6,07/29/2018 1:48 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
China Aerospace Science and Technology Corporation,Gaofen-11,Long March 4B | Gaofen-11,07/31/2018 3 a.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4B,Launch Successful
China Aerospace Science and Technology Corporation,Beidou-3 M11 & M12,Long March 3B / YZ-1 | Beidou-3 M11 & M12,08/24/2018 11:52 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
China Aerospace Science and Technology Corporation,Haiyang 1C,Long March 2C | Haiyang 1C,09/07/2018 3:15 a.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
China Aerospace Science and Technology Corporation,Beidou-3 M13 & M14,Long March 3B / YZ-1 | Beidou-3 M13 & M14,09/19/2018 2:07 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
ExPace,CentiSpace-1-S1,Kuaizhou-1A | Centispace-1-S1,09/29/2018 4:13 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China",Kuaizhou,Launch Successful
China Aerospace Science and Technology Corporation,Yaogan-32-01,Long March 2C/YZ-1S | Yaogan-32-01,10/09/2018 2:43 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2C/YZ-1S,Launch Successful
China Aerospace Science and Technology Corporation,Beidou-3 M15 & M16,Long March 3B / YZ-1 | Beidou-3 M15 & M16,10/15/2018 4:23 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3B/YZ-1,Launch Successful
China Aerospace Science and Technology Corporation,Haiyang 2B,Long March 4B | Haiyang 2B,10/24/2018 10:57 p.m.,"Launch Complex 9 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4B,Launch Successful
LandSpace,Weilai-1 (Future-1),Zhuque-1 | Weilai-1 (Future-1),10/27/2018 8 a.m.,"Launch Area 95A | Jiuquan Satellite Launch Center, People's Republic of China",Zhuque-1,Launch Failure
