launch_service_provider,mission,name,net,pad,rocket,status
Soviet Space Program,Tselina-D 49,Tsiklon-3 | Tselina-D 49,07/08/1985 11:40 p.m.,"32/2 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Soviet Space Program,Bion 7,Soyuz U | Bion 7,07/10/1985 3:15 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Soviet Space Program,Zenit-8 19,Soyuz U | Zenit-8 19,07/15/1985 6:30 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Soviet Space Program,Molniya-3 37L,Molniya-M | Molniya-3 37L,07/17/1985 1:05 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
Soviet Space Program,—,Soyuz U | Kosmos 1669,07/19/1985 1:05 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Soviet Space Program,US-A 26,Tsiklon-2 | US-A 26,08/01/1985 5:36 a.m.,"90 | Baikonur Cosmodrome, Republic of Kazakhstan",Tsiklon-2,Launch Successful
Soviet Space Program,Zenit-8 20,Soyuz U | Zenit-8 20,08/02/1985 11:40 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Soviet Space Program,Resurs-F1 17F41 57L,Soyuz U | Resurs-F1 17F41 57L,08/07/1985 9:50 a.m.,"43/4 (43R) | Plesetsk Cosmodrome, Russian Federation",Soyuz U,Launch Successful
Soviet Space Program,Yantar-1KFT 5,Soyuz U | Yantar-1KFT 5,08/08/1985 10:19 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan",Soyuz U,Launch Successful
Soviet Space Program,Tselina-D 50,Tsiklon-3 | Tselina-D 50,08/08/1985 11:49 a.m.,"32/1 | Plesetsk Cosmodrome, Russian Federation",Tsiklon-3,Launch Successful
Soviet Space Program,Raduga 16,Proton-K/DM | Raduga 16,08/08/1985 9:01 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan",Proton-K/DM,Launch Successful
Soviet Space Program,US-K 41,Molniya-M | US-K 41,08/12/1985 3:09 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation",Molniya-M,Launch Successful
