launch_service_provider,mission,name,net,pad,rocket,status
SpaceX,Starlink Group 6-7,Falcon 9 Block 5 | Starlink Group 6-7,07/28/2023 4:01 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,EchoStar 24/Jupiter-3,Falcon Heavy | EchoStar 24/Jupiter-3,07/29/2023 3:04 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon Heavy,Launch Successful
Northrop Grumman Space Systems,Cygnus CRS-2 NG-19 (S.S. Laurel Clark),Antares 230+ | Cygnus CRS-2 NG-19 (S.S. Laurel Clark),08/02/2023 12:31 a.m.,"Launch Area 0 A | Wallops Island, Virginia, USA",Antares 230+,Launch Successful
SpaceX,Galaxy 37,Falcon 9 Block 5 | Galaxy 37,08/03/2023 5 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-8,Falcon 9 Block 5 | Starlink Group 6-8,08/07/2023 2:41 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-20,Falcon 9 Block 5 | Starlink Group 6-20,08/08/2023 3:57 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
Virgin Galactic,Galactic 02,SpaceShipTwo | Galactic 02,08/10/2023 3:17 p.m.,Spaceport America | Air launch to Suborbital flight,SpaceShipTwo,Launch Successful
SpaceX,Starlink Group 6-9,Falcon 9 Block 5 | Starlink Group 6-9,08/11/2023 5:17 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-10,Falcon 9 Block 5 | Starlink Group 6-10,08/17/2023 3:36 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 7-1,Falcon 9 Block 5 | Starlink Group 7-1,08/22/2023 9:37 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA",Falcon 9,Launch Successful
SpaceX,Crew-7,Falcon 9 Block 5 | Crew-7,08/26/2023 7:27 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA",Falcon 9,Launch Successful
SpaceX,Starlink Group 6-11,Falcon 9 Block 5 | Starlink Group 6-11,08/27/2023 1:05 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA",Falcon 9,Launch Successful
